Date,Store,Store_Type,Product,Category,Price,Cost_Price,Discount,Holiday,Weekend,Day_of_Week,Month,Season,Temperature,Rainfall_mm,Promotion,Competitor_Price,Inventory,Previous_Week_Sales,Previous_Month_Sales,Demand,Units_Sold,Revenue,Profit,Stockout
2024-10-31,North Hub,Suburban,Wheat Flour 5kg,Groceries,278.12,227.28,3.0,No,No,Thursday,10,Post-Monsoon,26.5,64.1,None,296.26,115,67,184,61,61,16965.32,3101.24,No
2025-12-17,Riverside Branch,Suburban,Vitamins,Health & Personal Care,408.09,283.49,10.0,No,No,Wednesday,12,Winter,25.8,8.5,Low,443.23,56,28,127,38,38,15507.42,4734.8,No
2025-01-10,Mall Outlet,Mall,Mixer Grinder,Home & Kitchen,3192.65,2335.25,0.0,No,No,Friday,1,Winter,21.7,22.6,None,3051.27,32,10,52,10,10,31926.5,8574.0,No
2025-09-08,Riverside Branch,Suburban,Instant Noodles,Groceries,17.61,12.46,0.0,No,No,Monday,9,Monsoon,28.4,181.7,None,19.59,221,147,668,160,160,2817.6,824.0,No
2024-08-21,East Market,Market,Shoes,Clothing,2970.03,1885.46,13.0,No,No,Wednesday,8,Monsoon,30.8,94.3,Low,3166.9,31,14,68,20,20,59400.6,21691.4,No
2024-08-22,Downtown Store,Urban,Wheat Flour 5kg,Groceries,277.72,228.36,0.0,No,No,Thursday,8,Monsoon,28.3,100.5,None,298.67,115,106,382,107,107,29716.04,5281.52,No
2025-02-18,Grand Bazaar,Market,Keyboard,Electronics,1490.31,811.22,8.0,No,No,Tuesday,2,Winter,24.9,25.7,None,1644.52,37,42,218,47,37,55141.47,25126.33,Yes
2024-09-09,Railway Kiosk,Transit,Energy Drink,Beverages,106.93,74.78,5.0,No,No,Monday,9,Monsoon,32.8,141.5,None,118.13,92,54,192,55,55,5881.15,1768.25,No
2025-12-28,Suburban Branch,Suburban,Protein Powder,Health & Personal Care,1966.95,1653.66,17.0,No,Yes,Sunday,12,Winter,29.5,10.6,Medium,2613.65,52,37,97,25,25,49173.75,7832.25,No
2025-08-16,Railway Kiosk,Transit,Water Bottle,Home & Kitchen,382.27,212.38,20.0,No,Yes,Saturday,8,Monsoon,29.7,100.4,Medium,488.86,77,53,199,52,52,19878.04,8834.28,No
